GaiaDR3,SPPred
" 499055030630323968",DA
" 499960104796222976",DA
" 500239479530448640",DC
" 502460493018037760",DC
" 502609064526679552",DC
" 502881949569745280",DC
" 502957442209211136",DA
" 502957510928687616",DA
" 503414937830647552",DC
" 503422703132016384",DC
" 503537434595593088",DA
" 503902850412105984",DC
" 504240778439455872",DC
" 505759238365541888",DA
" 507078480512628096",DC
" 507660671926402048",DC
" 507831027502174848",DC
" 509163429445659008",DA
" 509284891114312832",DA
" 510693533011675008",DC
" 510955629092769152",DA
" 510991333164269696",DBA
" 511667975187993088",DC
" 512176774194380032",DA
" 512975023938038656",DC
" 512975019637884032",DC
" 513318720101615232",DC
" 513686334940973184",DC
" 513788387664651392",DC
" 513788696895819776",DA
" 514071198371659904",DA
" 514156238722960768",DA
" 514466683260339840",DA
" 515176418013343232",DC
" 515289392829738624",DC
" 515295882529071104",DA
" 515466135029128576",DA
" 516249262183875840",DC
" 516606710842437248",DA
" 516935018143037440",DC
" 518201792978858880",DA
" 518327583983793280",DA
" 519129815149189760",DA
" 519420666037034112",DA
" 519937917539079296",DC
" 520790043346964608",DA
" 520888410978958080",DA
" 521927243309686656",DA
" 522115156720215040",DC
" 522258338047619840",DC
" 522309667198299264",DA
" 522518883651891584",DC
" 523444534995765504",DA
" 524511370511869824",DA
" 526310244550180480",DC
" 528558986350766208",DC
" 529594417061837824",DC
" 530147810713379584",DC
" 530910734346043264",DC
" 531635449948957568",DA
" 531814979580153088",DC
" 531943862958293632",DA
" 532212010651744640",DC
" 533214967118929024",DC
" 533215241996857216",DC
" 533654771771060096",DC
" 534757891171400064",DA
" 535482641132742400",DA
" 535556862462364416",DC
" 536060919828797952",DA
" 536979286914485760",DC
" 537393832858638464",DA
" 537563127588521600",DBAZ
" 537795090182823936",DA
" 538528391421947136",DC
" 539346324992314496",DA
" 541198628425329152",DA
" 542190594071254656",DA
" 542865797290276352",DC
" 543398540737509632",DA
" 544010899994075264",DC
" 544031378397039232",DA
" 544192392428485632",DA
" 544582061924794368",DA
" 544619720197731072",DA
" 544718680539607680",DC
" 544837187278705408",DA
" 545633955251654016",DC
" 545997618721866624",DA
" 547179765520150912",DBA
" 547501815051141248",DZ
" 547755428576013184",DC
" 548423278811480960",DA
" 550172322636826880",DA
" 550494758716769408",DC
" 551153263105246208",DAe
" 552280537401824384",DBA
" 554339884024106624",DA
" 555223753938122240",DA
" 555258461563927552",DC
" 556746302659364608",DA
" 556855532267405696",DC
" 556906315961254016",DC
" 558036098518042752",DA
" 558080903616798848",DC
" 558153333945938560",DC
" 558285928175703424",DA
" 559439835566125952",DA
" 559766180064682752",DC
" 560091983401665920",DA
" 560307139785425280",DA
" 560554087519757696",DC
" 560568793490187264",DA
" 561231932144411008",DC
" 561702935437377024",DA
" 561938815042266624",DC
" 562132638325052544",DC
" 562145729385472512",DA
" 563004280465719040",DA
" 566374176233595008",DA
" 566511890059499136",DC
" 568089105130012800",DC
" 568133811445522432",DC
" 568168544844912128",DC
" 568361238553979264",DA
" 568844538337271040",DC
" 568914804002955136",DC
" 569233387496943488",DA
" 570086853335107200",DA
" 570159691683454720",DA
" 571572637140787840",DA
" 571644964388467456",DC
" 572196060232187008",DC
" 572487740053132288",DA
" 574070177802252288",DC
" 574070280881467264",DC
" 574763316803724160",DA
" 575009195093723264",DC
" 575585919005741184",DA
" 576446321213643136",DA
" 577342113952420224",DA
" 577911695335496832",DC
" 578452448897807616",DC
" 578452453193409920",DA
" 579835153490062976",DA
" 582729312907277568",DA
" 583533124626862464",DA
" 583995091309178624",DA
" 584402318633098624",DQ
" 585164761227127424",DA
" 585488567401589248",DAH
" 585513959248023936",DA
" 585700189030449920",DA
" 586075122495366400",DC
" 587767202170593536",DA
" 588332900903805824",DQ
" 588349771535238912",DQpec
" 588349805894986624",DA
" 588395027605042688",DC
" 588530847356236672",DA
" 588813460499195264",DA
" 589285627728700160",DA
" 590183142750379136",DZ
" 590634281819450880",DC
" 591040864898749312",DQZA
" 591207406550605312",DQ
" 592019425952313600",DA
" 592605431290049152",DA
" 595867686585664256",DA
" 597819555947490432",DC
" 598240497102033024",DA
" 598769843231677056",DA
" 599820460951495680",DC
" 599922307511771776",DC
" 600139357980010752",DC
" 600297481495526400",DA
" 603155765049434752",DA
" 604127802048700032",DC
" 604972428842238080",DAH
" 606216148291719680",DA
" 606938634805314944",DA
" 606938634805314816",DA
" 606956776747174016",DB
" 607535218647587328",DC
" 607977291041540608",DC
" 608113531698574592",DA
" 610478649930041856",DA
" 610896872370416128",DC
" 610906974133485056",DC
" 611074413433751680",DA
" 611401999180118528",DBA
" 611645983387812992",DC
" 612262122214240512",DA
" 612781160422662016",DC
" 613504432914593408",DC
" 613553056239392768",DQ
" 614363769971202304",DC
" 614379236149119360",DA
" 614643325098055680",DA
" 614779144848945024",DA
" 615037976757661696",DA
" 615705144092773376",DC
" 615733593956317568",DC
" 616306233355739008",DC
" 616396182856185728",DC
" 616394263005643776",DA
" 616587738397098240",DA
" 617329255911052416",DC
" 617587538064096640",DA
" 618571635330439040",DZ
" 620298383988029568",DC
" 620523818225634304",DC
" 620954483186339072",DC
" 621792070528481664",DC
" 621824987157964544",DA
" 621979502901486720",DAH
" 622536749138267904",DC
" 623384098941292672",DA
" 623734465193065088",DC
" 624510170646474112",DA
" 624600566824086016",DA
" 624921521139276800",DC
" 625054493327257856",DC
" 625068134142899968",DA
" 625075796364911360",DA
" 625415030061614336",DA
" 625894588930355328",DC
" 626112262167369472",DC
" 626319721972908288",DA
" 626329892455217152",DC
" 626844326458669568",DA
" 627151433802913792",DA
" 627240597321087488",DC
" 627412945768300800",DA
" 628141337862068864",DA
" 631085967440152960",DC
