GaiaEDR3,specClass
579452660882131200,DA_MS
579476334742123904,DA
579525026786491008,DA
579556530370998912,DA
579568143962749056,DA
579697748895357440,DA
579805982071557248,Unreli
579827697426831744,DA
579835153490062976,DA
579839242298297088,DA
579909164365936512,CV
579931846088268928,DA
579933869017951488,DA
579941118922765440,DA
579946410324006272,DA
579946410324006272,DA
579946856998663936,DA
579949708856949760,STAR
579949708856949760,DA
579955756170963456,DC
579955756170963456,DC
580027263081733888,DBA
580049764415000192,DC
580148686102276352,STAR
580238605537075584,DA
580273789909568640,DA
580367351476828288,DA
580523692581755648,Unreli
580558842594128256,DAH
580701259414431872,DA
580737646377448192,DB
580743801065756416,DA
580763106943347584,DA
580763278742030720,DA
580790014913812608,DA_MS
580991358685762176,STAR
580991358685762176,DA
580991358685762176,DA
581049632802538880,DA
581052141062542208,DA
581069149132840064,DA
581069149132840064,DA
581074371813350912,WD
581074371813350912,Unreli
581110831791334400,CV
581110831791334400,CV
581115504716818944,DB
581115504716818944,DB
581115504716818944,DB
581115504716818944,DB
581115504716818944,DB
581116462493435520,WD
581173911975686144,DA
581185048826094976,DA_MS
581185048826094976,DA_MS
581185048826094976,DA_MS
581185048826094976,DA_MS
581215143661631232,DA
581215143661631232,DA
581215143661631232,DA
581215143661631232,DA
581228234721999360,WD
581239199773921536,DA
581260945192570624,DA
581292109475396992,DB
581332344729588096,DA
581383201437258240,DC
581401201644510208,DA
581430957178439168,DA
581435904980856192,DA
581438722479477760,DA
581664294161599872,DA
581758989600056192,DA_MS
581758989600056192,DA_MS
581820218658061952,DQ
581838949007298432,DA
581838949007298432,DA
581844785866933504,STAR
581868154784678272,DA
581868154784678272,DA
581920961407423488,DA
581920961407423488,DA
581920961407423488,DA
581930307261098496,DA
581930307261098496,DA
581943913712824448,Unreli
581944703986889216,DA
581977105219243904,DB
581988134695618560,DA
582006173558312704,DA
582023804399770880,DA
582030779428178048,DA
582046035150379264,DA
582080974708615552,DA
582080974708615552,DA
582114063136532224,DC
582114063136532224,DB
582155569701228544,DA
582155569701228544,DA
582155569701228544,DA
582161586950592128,DA
582161586950592128,DA
582222433752256384,DA
582346334968612480,DA
582389937476261248,STAR
582395538113790208,DA
582433024587866368,DA
582441683241813376,DA
582442267357898624,DA
582509956042253312,DA
582509956042253312,DA
582540467489731968,DC
582584791552812160,DA
582584791552812160,DA
582596783101136256,DA
582660314257630336,DA
582696220184351488,DA
582696220184351488,DA
582699316855805696,DA
582719309931752576,WD
582729312907277568,DA
582729312907277568,DA
582779817427375488,DA
582801670221039104,DA
582801670221039104,DA
582802361711105152,DZ
582862766131042432,WD
582888256761324288,WD
582901519620616192,DA
582901519620616192,DA
582948214504809600,DA
582960274773077888,DA
582996077620826112,DA
583027727234795392,DA
583039306466609024,DA
